1 ----> uni0001	
12317 ----> uni301D	〝
12318 ----> uni301E	〞
12321 ----> uni3021	〡
12322 ----> uni3022	〢
12323 ----> uni3023	〣
12324 ----> uni3024	〤
12325 ----> uni3025	〥
12326 ----> uni3026	〦
12327 ----> uni3027	〧
12328 ----> uni3028	〨
12329 ----> uni3029	〩
12336 ----> uni3030	〰
12353 ----> uni3041	ぁ
12354 ----> uni3042	あ
12355 ----> uni3043	ぃ
12356 ----> uni3044	い
12357 ----> uni3045	ぅ
12358 ----> uni3046	う
12359 ----> uni3047	ぇ
12360 ----> uni3048	え
12361 ----> uni3049	ぉ
12362 ----> uni304A	お
12363 ----> uni304B	か
12364 ----> uni304C	が
12365 ----> uni304D	き
12366 ----> uni304E	ぎ
12367 ----> uni304F	く
12368 ----> uni3050	ぐ
12369 ----> uni3051	け
12370 ----> uni3052	げ
12371 ----> uni3053	こ
12372 ----> uni3054	ご
12373 ----> uni3055	さ
12374 ----> uni3056	ざ
12375 ----> uni3057	し
12376 ----> uni3058	じ
12377 ----> uni3059	す
12378 ----> uni305A	ず
12379 ----> uni305B	せ
12380 ----> uni305C	ぜ
12381 ----> uni305D	そ
12382 ----> uni305E	ぞ
12383 ----> uni305F	た
12384 ----> uni3060	だ
12385 ----> uni3061	ち
12386 ----> uni3062	ぢ
12387 ----> uni3063	っ
12388 ----> uni3064	つ
12389 ----> uni3065	づ
12390 ----> uni3066	て
12391 ----> uni3067	で
12392 ----> uni3068	と
12393 ----> uni3069	ど
12394 ----> uni306A	な
12395 ----> uni306B	に
12396 ----> uni306C	ぬ
12397 ----> uni306D	ね
12398 ----> uni306E	の
12399 ----> uni306F	は
12400 ----> uni3070	ば
12401 ----> uni3071	ぱ
12402 ----> uni3072	ひ
12403 ----> uni3073	び
12404 ----> uni3074	ぴ
12405 ----> uni3075	ふ
12406 ----> uni3076	ぶ
12407 ----> uni3077	ぷ
12408 ----> uni3078	へ
12409 ----> uni3079	べ
12410 ----> uni307A	ぺ
12411 ----> uni307B	ほ
12412 ----> uni307C	ぼ
12413 ----> uni307D	ぽ
12414 ----> uni307E	ま
12415 ----> uni307F	み
12416 ----> uni3080	む
12417 ----> uni3081	め
12418 ----> uni3082	も
12419 ----> uni3083	ゃ
12420 ----> uni3084	や
12421 ----> uni3085	ゅ
12422 ----> uni3086	ゆ
12423 ----> uni3087	ょ
12424 ----> uni3088	よ
12425 ----> uni3089	ら
12426 ----> uni308A	り
12427 ----> uni308B	る
12428 ----> uni308C	れ
12429 ----> uni308D	ろ
12430 ----> uni308E	ゎ
12431 ----> uni308F	わ
12432 ----> uni3090	ゐ
12433 ----> uni3091	ゑ
12434 ----> uni3092	を
12435 ----> uni3093	ん
12445 ----> uni309D	ゝ
12446 ----> uni309E	ゞ
12449 ----> uni30A1	ァ
12450 ----> uni30A2	ア
12451 ----> uni30A3	ィ
12452 ----> uni30A4	イ
12453 ----> uni30A5	ゥ
12454 ----> uni30A6	ウ
12455 ----> uni30A7	ェ
12456 ----> uni30A8	エ
12457 ----> uni30A9	ォ
12458 ----> uni30AA	オ
12459 ----> uni30AB	カ
12460 ----> uni30AC	ガ
12461 ----> uni30AD	キ
12462 ----> uni30AE	ギ
12463 ----> uni30AF	ク
12464 ----> uni30B0	グ
12465 ----> uni30B1	ケ
12466 ----> uni30B2	ゲ
12467 ----> uni30B3	コ
12468 ----> uni30B4	ゴ
12469 ----> uni30B5	サ
12470 ----> uni30B6	ザ
12471 ----> uni30B7	シ
12472 ----> uni30B8	ジ
12473 ----> uni30B9	ス
12474 ----> uni30BA	ズ
12475 ----> uni30BB	セ
12476 ----> uni30BC	ゼ
12477 ----> uni30BD	ソ
12478 ----> uni30BE	ゾ
12479 ----> uni30BF	タ
12480 ----> uni30C0	ダ
12481 ----> uni30C1	チ
12482 ----> uni30C2	ヂ
12483 ----> uni30C3	ッ
12484 ----> uni30C4	ツ
12485 ----> uni30C5	ヅ
12486 ----> uni30C6	テ
12487 ----> uni30C7	デ
12488 ----> uni30C8	ト
12489 ----> uni30C9	ド
12490 ----> uni30CA	ナ
12491 ----> uni30CB	ニ
12492 ----> uni30CC	ヌ
12493 ----> uni30CD	ネ
12494 ----> uni30CE	ノ
12495 ----> uni30CF	ハ
12496 ----> uni30D0	バ
12497 ----> uni30D1	パ
12498 ----> uni30D2	ヒ
12499 ----> uni30D3	ビ
12500 ----> uni30D4	ピ
12501 ----> uni30D5	フ
12502 ----> uni30D6	ブ
12503 ----> uni30D7	プ
12504 ----> uni30D8	ヘ
12505 ----> uni30D9	ベ
12506 ----> uni30DA	ペ
12507 ----> uni30DB	ホ
12508 ----> uni30DC	ボ
12509 ----> uni30DD	ポ
12510 ----> uni30DE	マ
12511 ----> uni30DF	ミ
12512 ----> uni30E0	ム
12513 ----> uni30E1	メ
12514 ----> uni30E2	モ
12515 ----> uni30E3	ャ
12516 ----> uni30E4	ヤ
12517 ----> uni30E5	ュ
12518 ----> uni30E6	ユ
12519 ----> uni30E7	ョ
12520 ----> uni30E8	ヨ
12521 ----> uni30E9	ラ
12522 ----> uni30EA	リ
12523 ----> uni30EB	ル
12524 ----> uni30EC	レ
12525 ----> uni30ED	ロ
12526 ----> uni30EE	ヮ
12527 ----> uni30EF	ワ
12528 ----> uni30F0	ヰ
12529 ----> uni30F1	ヱ
12530 ----> uni30F2	ヲ
12531 ----> uni30F3	ン
12532 ----> uni30F4	ヴ
12533 ----> uni30F5	ヵ
12534 ----> uni30F6	ヶ
12540 ----> uni30FC	ー
12541 ----> uni30FD	ヽ
12542 ----> uni30FE	ヾ
12549 ----> uni3105	ㄅ
12550 ----> uni3106	ㄆ
12551 ----> uni3107	ㄇ
12552 ----> uni3108	ㄈ
12553 ----> uni3109	ㄉ
12554 ----> uni310A	ㄊ
12555 ----> uni310B	ㄋ
12556 ----> uni310C	ㄌ
12557 ----> uni310D	ㄍ
12558 ----> uni310E	ㄎ
12559 ----> uni310F	ㄏ
12560 ----> uni3110	ㄐ
12561 ----> uni3111	ㄑ
12562 ----> uni3112	ㄒ
12563 ----> uni3113	ㄓ
12564 ----> uni3114	ㄔ
12565 ----> uni3115	ㄕ
12566 ----> uni3116	ㄖ
12567 ----> uni3117	ㄗ
12568 ----> uni3118	ㄘ
12569 ----> uni3119	ㄙ
12570 ----> uni311A	ㄚ
12571 ----> uni311B	ㄛ
12572 ----> uni311C	ㄜ
12573 ----> uni311D	ㄝ
12574 ----> uni311E	ㄞ
12575 ----> uni311F	ㄟ
12576 ----> uni3120	ㄠ
12577 ----> uni3121	ㄡ
12578 ----> uni3122	ㄢ
12579 ----> uni3123	ㄣ
12580 ----> uni3124	ㄤ
12581 ----> uni3125	ㄥ
12582 ----> uni3126	ㄦ
12583 ----> uni3127	ㄧ
12584 ----> uni3128	ㄨ
12585 ----> uni3129	ㄩ
12690 ----> uni3192	㆒
12691 ----> uni3193	㆓
12692 ----> uni3194	㆔
12693 ----> uni3195	㆕
12694 ----> uni3196	㆖
12695 ----> uni3197	㆗
12696 ----> uni3198	㆘
12697 ----> uni3199	㆙
12698 ----> uni319A	㆚
12699 ----> uni319B	㆛
12700 ----> uni319C	㆜
12701 ----> uni319D	㆝
12702 ----> uni319E	㆞
12703 ----> uni319F	㆟
12832 ----> uni3192	㈠
12833 ----> uni3193	㈡
12834 ----> uni3194	㈢
12835 ----> uni3195	㈣
12836 ----> uni3224	㈤
12837 ----> uni3225	㈥
12838 ----> uni3226	㈦
12839 ----> uni3227	㈧
12840 ----> uni3228	㈨
12841 ----> uni3229	㈩
12842 ----> uni322A	㈪
12843 ----> uni322B	㈫
12844 ----> uni322C	㈬
12845 ----> uni322D	㈭
12846 ----> uni322E	㈮
12847 ----> uni322F	㈯
12848 ----> uni3230	㈰
12849 ----> uni3231	㈱
12850 ----> uni3232	㈲
12851 ----> uni3233	㈳
12852 ----> uni3234	㈴
12853 ----> uni3235	㈵
12854 ----> uni3236	㈶
12855 ----> uni3237	㈷
12856 ----> uni3238	㈸
12857 ----> uni3239	㈹
12858 ----> uni323A	㈺
12859 ----> uni323B	㈻
12860 ----> uni323C	㈼
12861 ----> uni323D	㈽
12862 ----> uni323E	㈾
12863 ----> uni323F	㈿
12864 ----> uni3240	㉀
12865 ----> uni3241	㉁
12866 ----> uni3242	㉂
12867 ----> uni3243	㉃
12928 ----> uni3192	㊀
12929 ----> uni3193	㊁
12930 ----> uni3194	㊂
12931 ----> uni3195	㊃
12932 ----> uni3224	㊄
12933 ----> uni3225	㊅
12934 ----> uni3226	㊆
12935 ----> uni3227	㊇
12936 ----> uni3228	㊈
12937 ----> uni3229	㊉
12938 ----> uni322A	㊊
12939 ----> uni322B	㊋
12940 ----> uni322C	㊌
12941 ----> uni322D	㊍
12942 ----> uni322E	㊎
12943 ----> uni322F	㊏
12944 ----> uni3230	㊐
12945 ----> uni3291	㊑
12946 ----> uni3232	㊒
12947 ----> uni3233	㊓
12948 ----> uni3234	㊔
12949 ----> uni3235	㊕
12950 ----> uni3236	㊖
12951 ----> uni3237	㊗
12952 ----> uni3238	㊘
12953 ----> uni3299	㊙
12954 ----> uni329A	㊚
12955 ----> uni329B	㊛
12956 ----> uni329C	㊜
12957 ----> uni329D	㊝
12958 ----> uni329E	㊞
12959 ----> uni329F	㊟
12960 ----> uni32A0	㊠
12961 ----> uni3241	㊡
12962 ----> uni32A2	㊢
12963 ----> uni32A3	㊣
12964 ----> uni3196	㊤
12965 ----> uni3197	㊥
12966 ----> uni3198	㊦
12967 ----> uni32A7	㊧
12968 ----> uni32A8	㊨
12969 ----> uni32A9	㊩
12970 ----> uni32AA	㊪
12971 ----> uni323B	㊫
12972 ----> uni323C	㊬
12973 ----> uni323D	㊭
12974 ----> uni323E	㊮
12975 ----> uni323F	㊯
12976 ----> uni32B0	㊰
13198 ----> uni338E	㎎
13199 ----> uni338F	㎏
13212 ----> uni339C	㎜
13213 ----> uni339D	㎝
13214 ----> uni339E	㎞
13217 ----> uni33A1	㎡
13252 ----> uni33C4	㏄
13262 ----> uni33CE	㏎
13265 ----> uni33D1	㏑
13266 ----> uni33D2	㏒
13269 ----> uni33D5	㏕
13535 ----> uni34DF	㓟
13774 ----> uni35CE	㗎
13778 ----> uni35D2	㗒
13782 ----> uni35D6	㗖
13811 ----> uni35F3	㗳
13822 ----> uni35FE	㗾
13869 ----> uni362D	㘭
14935 ----> uni3A57	㩗
14940 ----> uni3A5C	㩜
15569 ----> uni3CD1	㳑
15820 ----> uni3DCC	㷌
