1 ----> uni0001	
24792 ----> uni60D8	惘
24793 ----> uni60D9	惙
24794 ----> uni60DA	惚
24795 ----> uni60DB	惛
24796 ----> uni60DC	惜
24797 ----> uni60DD	惝
24799 ----> uni60DF	惟
24800 ----> uni60E0	惠
24801 ----> uni60E1	惡
24802 ----> uni60E2	惢
24803 ----> uni60E3	惣
24804 ----> uni60E4	惤
24806 ----> uni60E6	惦
24807 ----> uni60E7	惧
24809 ----> uni60E9	惩
24816 ----> uni60F0	惰
24817 ----> uni60F1	惱
24818 ----> uni60F2	惲
24819 ----> uni60F3	想
24820 ----> uni60F4	惴
24821 ----> uni60F5	惵
24822 ----> uni60F6	惶
24823 ----> uni60F7	惷
24824 ----> uni60F8	惸
24825 ----> uni60F9	惹
24826 ----> uni60FA	惺
24827 ----> uni60FB	惻
24828 ----> uni60FC	惼
24829 ----> uni60FD	惽
24830 ----> uni60FE	惾
24831 ----> uni60FF	惿
24832 ----> uni6100	愀
24833 ----> uni6101	愁
24835 ----> uni6103	愃
24836 ----> uni6104	愄
24837 ----> uni6105	愅
24838 ----> uni6106	愆
24840 ----> uni6108	愈
24841 ----> uni6109	愉
24842 ----> uni610A	愊
24843 ----> uni610B	愋
24845 ----> uni610D	愍
24846 ----> uni610E	愎
24847 ----> uni610F	意
24848 ----> uni6110	愐
24850 ----> uni6112	愒
24851 ----> uni6113	愓
24852 ----> uni6114	愔
24853 ----> uni6115	愕
24854 ----> uni6116	愖
24856 ----> uni6118	愘
24858 ----> uni611A	愚
24859 ----> uni611B	愛
24860 ----> uni611C	愜
24861 ----> uni611D	愝
24863 ----> uni611F	感
24867 ----> uni6123	愣
24871 ----> uni6127	愧
24872 ----> uni6128	愨
24873 ----> uni6129	愩
24875 ----> uni612B	愫
24876 ----> uni612C	愬
24878 ----> uni612E	愮
24879 ----> uni612F	愯
24880 ----> uni6130	愰
24882 ----> uni6132	愲
24884 ----> uni6134	愴
24886 ----> uni6136	愶
24887 ----> uni6137	愷
24891 ----> uni613B	愻
24894 ----> uni613E	愾
24895 ----> uni613F	愿
24896 ----> uni6140	慀
24897 ----> uni6141	慁
24898 ----> uni6142	慂
24900 ----> uni6144	慄
24901 ----> uni6145	慅
24902 ----> uni6146	慆
24903 ----> uni6147	慇
24904 ----> uni6148	慈
24905 ----> uni6149	慉
24906 ----> uni614A	慊
24907 ----> uni614B	態
24908 ----> uni614C	慌
24909 ----> uni614D	慍
24910 ----> uni614E	慎
24911 ----> uni614F	慏
24914 ----> uni6152	慒
24915 ----> uni6153	慓
24916 ----> uni6154	慔
24917 ----> uni6155	慕
24918 ----> uni6156	慖
24920 ----> uni6158	慘
24921 ----> uni6159	慙
24922 ----> uni615A	慚
24923 ----> uni615B	慛
24924 ----> uni615C	慜
24925 ----> uni615D	慝
24926 ----> uni615E	慞
24927 ----> uni615F	慟
24929 ----> uni6161	慡
24930 ----> uni6162	慢
24931 ----> uni6163	慣
24932 ----> uni6164	慤
24933 ----> uni6165	慥
24934 ----> uni6166	慦
24935 ----> uni6167	慧
24936 ----> uni6168	慨
24938 ----> uni616A	慪
24939 ----> uni616B	慫
24940 ----> uni616C	慬
24942 ----> uni616E	慮
24943 ----> uni616F	慯
24944 ----> uni6170	慰
24945 ----> uni6171	慱
24946 ----> uni6172	慲
24947 ----> uni6173	慳
24948 ----> uni6174	慴
24949 ----> uni6175	慵
24950 ----> uni6176	慶
24951 ----> uni6177	慷
24953 ----> uni6179	慹
24954 ----> uni617A	慺
24956 ----> uni617C	慼
24957 ----> uni617D	慽
24958 ----> uni617E	慾
24960 ----> uni6180	憀
24962 ----> uni6182	憂
24963 ----> uni6183	憃
24969 ----> uni6189	憉
24970 ----> uni618A	憊
24971 ----> uni618B	憋
24972 ----> uni618C	憌
24973 ----> uni618D	憍
24974 ----> uni618E	憎
24976 ----> uni6190	憐
24977 ----> uni6191	憑
24978 ----> uni6192	憒
24979 ----> uni6193	憓
24980 ----> uni6194	憔
24982 ----> uni6196	憖
24985 ----> uni6199	憙
24986 ----> uni619A	憚
24987 ----> uni619B	憛
24988 ----> uni619C	憜
24989 ----> uni619D	憝
24991 ----> uni619F	憟
24993 ----> uni61A1	憡
24994 ----> uni61A2	憢
24996 ----> uni61A4	憤
24999 ----> uni61A7	憧
25000 ----> uni61A8	憨
25001 ----> uni61A9	憩
25002 ----> uni61AA	憪
25003 ----> uni61AB	憫
25004 ----> uni61AC	憬
25005 ----> uni61AD	憭
25006 ----> uni61AE	憮
25007 ----> uni61AF	憯
25008 ----> uni61B0	憰
25009 ----> uni61B1	憱
25010 ----> uni61B2	憲
25011 ----> uni61B3	憳
25012 ----> uni61B4	憴
25013 ----> uni61B5	憵
25014 ----> uni61B6	憶
25016 ----> uni61B8	憸
25018 ----> uni61BA	憺
25020 ----> uni61BC	憼
25022 ----> uni61BE	憾
25023 ----> uni61BF	憿
25025 ----> uni61C1	懁
25026 ----> uni61C2	懂
25027 ----> uni61C3	懃
25029 ----> uni61C5	懅
25030 ----> uni61C6	懆
25031 ----> uni61C7	懇
25032 ----> uni61C8	懈
25033 ----> uni61C9	應
25034 ----> uni61CA	懊
25035 ----> uni61CB	懋
25036 ----> uni61CC	懌
25037 ----> uni61CD	懍
25046 ----> uni61D6	懖
25048 ----> uni61D8	懘
25054 ----> uni61DE	懞
25055 ----> uni61DF	懟
25056 ----> uni61E0	懠
25058 ----> uni61E2	懢
25059 ----> uni61E3	懣
25060 ----> uni61E4	懤
25061 ----> uni61E5	懥
25062 ----> uni61E6	懦
25063 ----> uni61E7	懧
25064 ----> uni61E8	懨
25065 ----> uni61E9	懩
25066 ----> uni61EA	懪
25067 ----> uni61EB	懫
25069 ----> uni61ED	懭
25070 ----> uni61EE	懮
25072 ----> uni61F0	懰
25073 ----> uni61F1	懱
25074 ----> uni61F2	懲
25077 ----> uni61F5	懵
25078 ----> uni61F6	懶
25079 ----> uni61F7	懷
25080 ----> uni61F8	懸
25081 ----> uni61F9	懹
25082 ----> uni61FA	懺
25083 ----> uni61FB	懻
25084 ----> uni61FC	懼
25085 ----> uni61FD	懽
25086 ----> uni61FE	懾
25087 ----> uni61FF	懿
25088 ----> uni6200	戀
25089 ----> uni6201	戁
25091 ----> uni6203	戃
25092 ----> uni6204	戄
25095 ----> uni6207	戇
25096 ----> uni6208	戈
25097 ----> uni6209	戉
25098 ----> uni620A	戊
25100 ----> uni620C	戌
25101 ----> uni620D	戍
25102 ----> uni620E	戎
25104 ----> uni6210	成
25105 ----> uni6211	我
25106 ----> uni6212	戒
25108 ----> uni6214	戔
25109 ----> uni6215	戕
25110 ----> uni6216	或
25113 ----> uni6219	戙
25114 ----> uni621A	戚
25115 ----> uni621B	戛
25119 ----> uni621F	戟
25120 ----> uni6220	戠
25121 ----> uni6221	戡
25122 ----> uni6222	戢
25123 ----> uni6223	戣
25124 ----> uni6224	戤
25125 ----> uni6225	戥
25127 ----> uni6227	戧
25129 ----> uni6229	戩
25130 ----> uni622A	截
25131 ----> uni622B	戫
25133 ----> uni622D	戭
25134 ----> uni622E	戮
25136 ----> uni6230	戰
25138 ----> uni6232	戲
25139 ----> uni6233	戳
25140 ----> uni6234	戴
25142 ----> uni6236	戶
25145 ----> uni6239	戹
25146 ----> uni623A	戺
25149 ----> uni623D	戽
25150 ----> uni623E	戾
25151 ----> uni623F	房
25152 ----> uni6240	所
25153 ----> uni6241	扁
25154 ----> uni6242	扂
25155 ----> uni6243	扃
25158 ----> uni6246	扆
25159 ----> uni6247	扇
25160 ----> uni6248	扈
25161 ----> uni6249	扉
25162 ----> uni624A	扊
25163 ----> uni624B	手
25165 ----> uni624D	才
25166 ----> uni624E	扎
25168 ----> uni6250	扐
25169 ----> uni6251	扑
25170 ----> uni6252	扒
25171 ----> uni6253	打
25172 ----> uni6254	扔
25176 ----> uni6258	托
25177 ----> uni6259	扙
25178 ----> uni625A	扚
25179 ----> uni625B	扛
25180 ----> uni625C	扜
25182 ----> uni625E	扞
25184 ----> uni6260	扠
25185 ----> uni6261	扡
25186 ----> uni6262	扢
25187 ----> uni6263	扣
25188 ----> uni6264	扤
25189 ----> uni6265	扥
25190 ----> uni6266	扦
25192 ----> uni6268	扨
25197 ----> uni626D	扭
25198 ----> uni626E	扮
25199 ----> uni626F	扯
25200 ----> uni6270	扰
25201 ----> uni6271	扱
25202 ----> uni6272	扲
25203 ----> uni6273	扳
25204 ----> uni6274	扴
25206 ----> uni6276	扶
25207 ----> uni6277	扷
25209 ----> uni6279	批
25210 ----> uni627A	扺
25211 ----> uni627B	扻
25212 ----> uni627C	扼
25213 ----> uni627D	扽
25214 ----> uni627E	找
25215 ----> uni627F	承
25216 ----> uni6280	技
25217 ----> uni6281	抁
25218 ----> uni6282	抂
25219 ----> uni6283	抃
25220 ----> uni6284	抄
25221 ----> uni6285	抅
25222 ----> uni6286	抆
25223 ----> uni6287	抇
25224 ----> uni6288	抈
25225 ----> uni6289	抉
25226 ----> uni628A	把
25228 ----> uni628C	抌
25230 ----> uni628E	抎
25231 ----> uni628F	抏
25233 ----> uni6291	抑
25234 ----> uni6292	抒
25235 ----> uni6293	抓
25236 ----> uni6294	抔
25237 ----> uni6295	投
25238 ----> uni6296	抖
25239 ----> uni6297	抗
25240 ----> uni6298	折
25245 ----> uni629D	抝
25254 ----> uni62A6	抦
25256 ----> uni62A8	抨
25257 ----> uni62A9	抩
25258 ----> uni62AA	抪
25259 ----> uni62AB	披
25260 ----> uni62AC	抬
25261 ----> uni62AD	抭
25262 ----> uni62AE	抮
25263 ----> uni62AF	抯
25264 ----> uni62B0	抰
25265 ----> uni62B1	抱
25267 ----> uni62B3	抳
25268 ----> uni62B4	抴
25269 ----> uni62B5	抵
25270 ----> uni62B6	抶
25272 ----> uni62B8	抸
25273 ----> uni62B9	抹
25275 ----> uni62BB	抻
25276 ----> uni62BC	押
25277 ----> uni62BD	抽
25278 ----> uni62BE	抾
25279 ----> uni62BF	抿
25282 ----> uni62C2	拂
25283 ----> uni62C3	拃
25284 ----> uni62C4	拄
25285 ----> uni62C5	担
25286 ----> uni62C6	拆
25287 ----> uni62C7	拇
25288 ----> uni62C8	拈
25289 ----> uni62C9	拉
25290 ----> uni62CA	拊
25291 ----> uni62CB	拋
25292 ----> uni62CC	拌
25293 ----> uni62CD	拍
25294 ----> uni62CE	拎
25295 ----> uni62CF	拏
25296 ----> uni62D0	拐
25297 ----> uni62D1	拑
25298 ----> uni62D2	拒
25299 ----> uni62D3	拓
25300 ----> uni62D4	拔
25301 ----> uni62D5	拕
25302 ----> uni62D6	拖
25303 ----> uni62D7	拗
25304 ----> uni62D8	拘
25305 ----> uni62D9	拙
25306 ----> uni62DA	拚
25307 ----> uni62DB	招
25308 ----> uni62DC	拜
25323 ----> uni62EB	拫
25324 ----> uni62EC	括
25325 ----> uni62ED	拭
25326 ----> uni62EE	拮
25327 ----> uni62EF	拯
25328 ----> uni62F0	拰
25329 ----> uni62F1	拱
25330 ----> uni62F2	拲
25331 ----> uni62F3	拳
25332 ----> uni62F4	拴
25333 ----> uni62F5	拵
25334 ----> uni62F6	拶
25335 ----> uni62F7	拷
25336 ----> uni62F8	拸
25337 ----> uni62F9	拹
25338 ----> uni62FA	拺
25339 ----> uni62FB	拻
25340 ----> uni62FC	拼
25341 ----> uni62FD	拽
25342 ----> uni62FE	拾
25343 ----> uni62FF	拿
25344 ----> uni6300	挀
25345 ----> uni6301	持
25346 ----> uni6302	挂
25347 ----> uni6303	挃
25351 ----> uni6307	指
25352 ----> uni6308	挈
25353 ----> uni6309	按
25355 ----> uni630B	挋
25356 ----> uni630C	挌
25357 ----> uni630D	挍
25358 ----> uni630E	挎
25359 ----> uni630F	挏
25360 ----> uni6310	挐
25361 ----> uni6311	挑
25363 ----> uni6313	挓
25364 ----> uni6314	挔
25365 ----> uni6315	挕
25366 ----> uni6316	挖
25384 ----> uni6328	挨
25385 ----> uni6329	挩
25386 ----> uni632A	挪
25387 ----> uni632B	挫
25388 ----> uni632C	挬
25389 ----> uni632D	挭
25391 ----> uni632F	振
25394 ----> uni6332	挲
25395 ----> uni6333	挳
25396 ----> uni6334	挴
25397 ----> uni6335	挵
25398 ----> uni6336	挶
25400 ----> uni6338	挸
25401 ----> uni6339	挹
25402 ----> uni633A	挺
25403 ----> uni633B	挻
25404 ----> uni633C	挼
25405 ----> uni633D	挽
25406 ----> uni633E	挾
25408 ----> uni6340	捀
25409 ----> uni6341	捁
25410 ----> uni6342	捂
25411 ----> uni6343	捃
25412 ----> uni6344	捄
25413 ----> uni6345	捅
25414 ----> uni6346	捆
25415 ----> uni6347	捇
25416 ----> uni6348	捈
25417 ----> uni6349	捉
25418 ----> uni634A	捊
25419 ----> uni634B	捋
25420 ----> uni634C	捌
25421 ----> uni634D	捍
25422 ----> uni634E	捎
25423 ----> uni634F	捏
25424 ----> uni6350	捐
25425 ----> uni6351	捑
25428 ----> uni6354	捔
25429 ----> uni6355	捕
25430 ----> uni6356	捖
25431 ----> uni6357	捗
25432 ----> uni6358	捘
25433 ----> uni6359	捙
25434 ----> uni635A	捚
25444 ----> uni6364	捤
25445 ----> uni6365	捥
25447 ----> uni6367	捧
25448 ----> uni6368	捨
25449 ----> uni6369	捩
25451 ----> uni636B	捫
25452 ----> uni636C	捬
25453 ----> uni636D	捭
25454 ----> uni636E	据
25455 ----> uni636F	捯
25456 ----> uni6370	捰
25457 ----> uni6371	捱
25458 ----> uni6372	捲
25461 ----> uni6375	捵
25462 ----> uni6376	捶
25463 ----> uni6377	捷
25464 ----> uni6378	捸
25466 ----> uni637A	捺
25467 ----> uni637B	捻
25468 ----> uni637C	捼
25469 ----> uni637D	捽
25471 ----> uni637F	捿
25472 ----> uni6380	掀
25473 ----> uni6381	掁
25474 ----> uni6382	掂
25475 ----> uni6383	掃
25476 ----> uni6384	掄
25477 ----> uni6385	掅
25479 ----> uni6387	掇
25480 ----> uni6388	授
25481 ----> uni6389	掉
25482 ----> uni638A	掊
25484 ----> uni638C	掌
25485 ----> uni638D	掍
25486 ----> uni638E	掎
25487 ----> uni638F	掏
25488 ----> uni6390	掐
25489 ----> uni6391	掑
25490 ----> uni6392	排
25492 ----> uni6394	掔
25494 ----> uni6396	掖
25495 ----> uni6397	掗
25496 ----> uni6398	掘
25497 ----> uni6399	掙
25499 ----> uni639B	掛
25500 ----> uni639C	掜
25501 ----> uni639D	掝
25502 ----> uni639E	掞
25503 ----> uni639F	掟
25504 ----> uni63A0	掠
25505 ----> uni63A1	採
25506 ----> uni63A2	探
25507 ----> uni63A3	掣
25508 ----> uni63A4	掤
25509 ----> uni63A5	接
25511 ----> uni63A7	控
25512 ----> uni63A8	推
25513 ----> uni63A9	掩
25514 ----> uni63AA	措
25515 ----> uni63AB	掫
25516 ----> uni63AC	掬
25517 ----> uni63AD	掭
25518 ----> uni63AE	掮
25519 ----> uni63AF	掯
25520 ----> uni63B0	掰
25521 ----> uni63B1	掱
25529 ----> uni63B9	掹
25533 ----> uni63BD	掽
25534 ----> uni63BE	掾
25536 ----> uni63C0	揀
25538 ----> uni63C2	揂
25539 ----> uni63C3	揃
25540 ----> uni63C4	揄
25541 ----> uni63C5	揅
25542 ----> uni63C6	揆
25543 ----> uni63C7	揇
25544 ----> uni63C8	揈
25545 ----> uni63C9	揉
25546 ----> uni63CA	揊
25547 ----> uni63CB	揋
25548 ----> uni63CC	揌
25549 ----> uni63CD	揍
25550 ----> uni63CE	揎
25551 ----> uni63CF	描
25552 ----> uni63D0	提
25553 ----> uni63D1	揑
25554 ----> uni63D2	插
25555 ----> uni63D3	揓
25557 ----> uni63D5	揕
25558 ----> uni63D6	揖
25559 ----> uni63D7	揗
25560 ----> uni63D8	揘
25561 ----> uni63D9	揙
25562 ----> uni63DA	揚
25563 ----> uni63DB	換
25564 ----> uni63DC	揜
25565 ----> uni63DD	揝
25567 ----> uni63DF	揟
25568 ----> uni63E0	揠
25569 ----> uni63E1	握
25571 ----> uni63E3	揣
25572 ----> uni63E4	揤
25573 ----> uni63E5	揥
25575 ----> uni63E7	揧
25576 ----> uni63E8	揨
25577 ----> uni63E9	揩
25578 ----> uni63EA	揪
25579 ----> uni63EB	揫
25581 ----> uni63ED	揭
25582 ----> uni63EE	揮
25583 ----> uni63EF	揯
25584 ----> uni63F0	揰
25585 ----> uni63F1	揱
25586 ----> uni63F2	揲
25587 ----> uni63F3	揳
25588 ----> uni63F4	援
25589 ----> uni63F5	揵
25590 ----> uni63F6	揶
25592 ----> uni63F8	揸
25593 ----> uni63F9	揹
25596 ----> uni63FC	揼
25598 ----> uni63FE	揾
25606 ----> uni6406	搆
25609 ----> uni6409	搉
25610 ----> uni640A	搊
25611 ----> uni640B	搋
25612 ----> uni640C	搌
25613 ----> uni640D	損
25614 ----> uni640E	搎
25615 ----> uni640F	搏
25616 ----> uni6410	搐
25618 ----> uni6412	搒
25619 ----> uni6413	搓
25620 ----> uni6414	搔
25621 ----> uni6415	搕
25622 ----> uni6416	搖
25623 ----> uni6417	搗
25624 ----> uni6418	搘
25626 ----> uni641A	搚
25627 ----> uni641B	搛
25628 ----> uni641C	搜
25630 ----> uni641E	搞
25631 ----> uni641F	搟
25632 ----> uni6420	搠
25633 ----> uni6421	搡
25634 ----> uni6422	搢
25635 ----> uni6423	搣
25636 ----> uni6424	搤
25637 ----> uni6425	搥
25638 ----> uni6426	搦
25639 ----> uni6427	搧
25640 ----> uni6428	搨
25642 ----> uni642A	搪
25643 ----> uni642B	搫
25644 ----> uni642C	搬
25645 ----> uni642D	搭
25646 ----> uni642E	搮
25647 ----> uni642F	搯
25648 ----> uni6430	搰
25651 ----> uni6433	搳
25652 ----> uni6434	搴
25653 ----> uni6435	搵
25654 ----> uni6436	搶
25655 ----> uni6437	搷
25657 ----> uni6439	搹
25658 ----> uni643A	携
25661 ----> uni643D	搽
25662 ----> uni643E	搾
25663 ----> uni643F	搿
25664 ----> uni6440	摀
25665 ----> uni6441	摁
25667 ----> uni6443	摃
25675 ----> uni644B	摋
25677 ----> uni644D	摍
25678 ----> uni644E	摎
25680 ----> uni6450	摐
25681 ----> uni6451	摑
25682 ----> uni6452	摒
25683 ----> uni6453	摓
25684 ----> uni6454	摔
25688 ----> uni6458	摘
25689 ----> uni6459	摙
25691 ----> uni645B	摛
25692 ----> uni645C	摜
25693 ----> uni645D	摝
25694 ----> uni645E	摞
25695 ----> uni645F	摟
25696 ----> uni6460	摠
25697 ----> uni6461	摡
25701 ----> uni6465	摥
25702 ----> uni6466	摦
25703 ----> uni6467	摧
25704 ----> uni6468	摨
25705 ----> uni6469	摩
25707 ----> uni646B	摫
25708 ----> uni646C	摬
25709 ----> uni646D	摭
25710 ----> uni646E	摮
25711 ----> uni646F	摯
25712 ----> uni6470	摰
25714 ----> uni6472	摲
25715 ----> uni6473	摳
25716 ----> uni6474	摴
25717 ----> uni6475	摵
25718 ----> uni6476	摶
25719 ----> uni6477	摷
25720 ----> uni6478	摸
25721 ----> uni6479	摹
25722 ----> uni647A	摺
25723 ----> uni647B	摻
25725 ----> uni647D	摽
25727 ----> uni647F	摿
25730 ----> uni6482	撂
25733 ----> uni6485	撅
25735 ----> uni6487	撇
25736 ----> uni6488	撈
25737 ----> uni6489	撉
25738 ----> uni648A	撊
25739 ----> uni648B	撋
25740 ----> uni648C	撌
25743 ----> uni648F	撏
25744 ----> uni6490	撐
25746 ----> uni6492	撒
25747 ----> uni6493	撓
25749 ----> uni6495	撕
25750 ----> uni6496	撖
25751 ----> uni6497	撗
25752 ----> uni6498	撘
25753 ----> uni6499	撙
25754 ----> uni649A	撚
25756 ----> uni649C	撜
25757 ----> uni649D	撝
25758 ----> uni649E	撞
25759 ----> uni649F	撟
25760 ----> uni64A0	撠
25762 ----> uni64A2	撢
25763 ----> uni64A3	撣
25764 ----> uni64A4	撤
25765 ----> uni64A5	撥
25766 ----> uni64A6	撦
25769 ----> uni64A9	撩
25771 ----> uni64AB	撫
25772 ----> uni64AC	撬
25773 ----> uni64AD	播
25774 ----> uni64AE	撮
25776 ----> uni64B0	撰
25777 ----> uni64B1	撱
25778 ----> uni64B2	撲
25779 ----> uni64B3	撳
25787 ----> uni64BB	撻
25788 ----> uni64BC	撼
25789 ----> uni64BD	撽
25790 ----> uni64BE	撾
25791 ----> uni64BF	撿
25793 ----> uni64C1	擁
25794 ----> uni64C2	擂
25795 ----> uni64C3	擃
25796 ----> uni64C4	擄
25797 ----> uni64C5	擅
25799 ----> uni64C7	擇
25801 ----> uni64C9	擉
25802 ----> uni64CA	擊
25803 ----> uni64CB	擋
25805 ----> uni64CD	操
25806 ----> uni64CE	擎
25807 ----> uni64CF	擏
25808 ----> uni64D0	擐
25810 ----> uni64D2	擒
25812 ----> uni64D4	擔
25814 ----> uni64D6	擖
25815 ----> uni64D7	擗
25816 ----> uni64D8	擘
25817 ----> uni64D9	擙
25818 ----> uni64DA	據
25819 ----> uni64DB	擛
25824 ----> uni64E0	擠
25826 ----> uni64E2	擢
25827 ----> uni64E3	擣
25828 ----> uni64E4	擤
25830 ----> uni64E6	擦
25831 ----> uni64E7	擧
25832 ----> uni64E8	擨
25833 ----> uni64E9	擩
25835 ----> uni64EB	擫
25836 ----> uni64EC	擬
25837 ----> uni64ED	擭
25839 ----> uni64EF	擯
25840 ----> uni64F0	擰
25841 ----> uni64F1	擱
25842 ----> uni64F2	擲
25843 ----> uni64F3	擳
25844 ----> uni64F4	擴
25847 ----> uni64F7	擷
25848 ----> uni64F8	擸
25850 ----> uni64FA	擺
25851 ----> uni64FB	擻
25852 ----> uni64FC	擼
25853 ----> uni64FD	擽
25854 ----> uni64FE	擾
25855 ----> uni64FF	擿
25856 ----> uni6500	攀
25857 ----> uni6501	攁
25859 ----> uni6503	攃
25860 ----> uni6504	攄
25862 ----> uni6506	攆
25863 ----> uni6507	攇
25865 ----> uni6509	攉
25868 ----> uni650C	攌
25869 ----> uni650D	攍
25870 ----> uni650E	攎
25871 ----> uni650F	攏
25872 ----> uni6510	攐
25875 ----> uni6513	攓
25876 ----> uni6514	攔
25877 ----> uni6515	攕
25878 ----> uni6516	攖
25879 ----> uni6517	攗
25880 ----> uni6518	攘
25881 ----> uni6519	攙
25883 ----> uni651B	攛
25884 ----> uni651C	攜
25885 ----> uni651D	攝
25886 ----> uni651E	攞
25888 ----> uni6520	攠
25889 ----> uni6521	攡
25890 ----> uni6522	攢
25891 ----> uni6523	攣
25892 ----> uni6524	攤
25893 ----> uni6525	攥
25894 ----> uni6526	攦
25897 ----> uni6529	攩
25898 ----> uni652A	攪
25899 ----> uni652B	攫
25900 ----> uni652C	攬
25901 ----> uni652D	攭
25902 ----> uni652E	攮
25903 ----> uni652F	支
25906 ----> uni6532	攲
25907 ----> uni6533	攳
25908 ----> uni6534	攴
25910 ----> uni6536	收
25911 ----> uni6537	攷
25912 ----> uni6538	攸
25913 ----> uni6539	改
25915 ----> uni653B	攻
25917 ----> uni653D	攽
25918 ----> uni653E	放
25919 ----> uni653F	政
25921 ----> uni6541	敁
25923 ----> uni6543	敃
25925 ----> uni6545	故
25926 ----> uni6546	敆
25928 ----> uni6548	效
25929 ----> uni6549	敉
25930 ----> uni654A	敊
25935 ----> uni654F	敏
25937 ----> uni6551	救
25939 ----> uni6553	敓
25940 ----> uni6554	敔
25941 ----> uni6555	敕
25942 ----> uni6556	敖
25943 ----> uni6557	敗
25944 ----> uni6558	敘
25945 ----> uni6559	教
25948 ----> uni655C	敜
25949 ----> uni655D	敝
25950 ----> uni655E	敞
25954 ----> uni6562	敢
25955 ----> uni6563	散
25956 ----> uni6564	敤
25957 ----> uni6565	敥
25958 ----> uni6566	敦
25959 ----> uni6567	敧
25960 ----> uni6568	敨
25962 ----> uni656A	敪
25964 ----> uni656C	敬
25967 ----> uni656F	敯
25970 ----> uni6572	敲
25971 ----> uni6573	敳
25972 ----> uni6574	整
25973 ----> uni6575	敵
25974 ----> uni6576	敶
25975 ----> uni6577	敷
25976 ----> uni6578	數
25977 ----> uni6579	敹
25978 ----> uni657A	敺
25979 ----> uni657B	敻
25980 ----> uni657C	敼
25983 ----> uni657F	敿
25984 ----> uni6580	斀
25985 ----> uni6581	斁
25986 ----> uni6582	斂
25987 ----> uni6583	斃
25988 ----> uni6584	斄
25989 ----> uni6585	斅
25991 ----> uni6587	文
25996 ----> uni658C	斌
26000 ----> uni6590	斐
26001 ----> uni6591	斑
26002 ----> uni6592	斒
26004 ----> uni6594	斔
26005 ----> uni6595	斕
26006 ----> uni6596	斖
26007 ----> uni6597	斗
26009 ----> uni6599	料
26011 ----> uni659B	斛
26012 ----> uni659C	斜
26013 ----> uni659D	斝
26014 ----> uni659E	斞
26015 ----> uni659F	斟
26016 ----> uni65A0	斠
26017 ----> uni65A1	斡
26018 ----> uni65A2	斢
26020 ----> uni65A4	斤
26021 ----> uni65A5	斥
26023 ----> uni65A7	斧
26024 ----> uni65A8	斨
26026 ----> uni65AA	斪
26027 ----> uni65AB	斫
26028 ----> uni65AC	斬
26030 ----> uni65AE	斮
26031 ----> uni65AF	斯
26032 ----> uni65B0	新
26034 ----> uni65B2	斲
26035 ----> uni65B3	斳
26038 ----> uni65B6	斶
26039 ----> uni65B7	斷
26040 ----> uni65B8	斸
26041 ----> uni65B9	方
26043 ----> uni65BB	斻
26044 ----> uni65BC	於
26045 ----> uni65BD	施
26047 ----> uni65BF	斿
26049 ----> uni65C1	旁
26050 ----> uni65C2	旂
26051 ----> uni65C3	旃
26052 ----> uni65C4	旄
26053 ----> uni65C5	旅
26054 ----> uni65C6	旆
26059 ----> uni65CB	旋
26060 ----> uni65CC	旌
26061 ----> uni65CD	旍
26062 ----> uni65CE	旎
26063 ----> uni65CF	族
26064 ----> uni65D0	旐
26066 ----> uni65D2	旒
26067 ----> uni65D3	旓
26070 ----> uni65D6	旖
26071 ----> uni65D7	旗
26074 ----> uni65DA	旚
26075 ----> uni65DB	旛
26077 ----> uni65DD	旝
26078 ----> uni65DE	旞
26079 ----> uni65DF	旟
26081 ----> uni65E1	旡
26082 ----> uni65E2	既
26085 ----> uni3230	日
26086 ----> uni65E6	旦
26088 ----> uni65E8	旨
26089 ----> uni65E9	早
26092 ----> uni65EC	旬
26093 ----> uni65ED	旭
26094 ----> uni65EE	旮
26095 ----> uni65EF	旯
26096 ----> uni65F0	旰
26097 ----> uni65F1	旱
26098 ----> uni65F2	旲
26099 ----> uni65F3	旳
26100 ----> uni65F4	旴
26101 ----> uni65F5	旵
26106 ----> uni65FA	旺
26107 ----> uni65FB	旻
26108 ----> uni65FC	旼
26109 ----> uni65FD	旽
26112 ----> uni6600	昀
26114 ----> uni6602	昂
26115 ----> uni6603	昃
26116 ----> uni6604	昄
26117 ----> uni6605	昅
26118 ----> uni6606	昆
26119 ----> uni6607	昇
26120 ----> uni6608	昈
26121 ----> uni6609	昉
26122 ----> uni660A	昊
26123 ----> uni660B	昋
26124 ----> uni660C	昌
26125 ----> uni660D	昍
26126 ----> uni660E	明
26127 ----> uni660F	昏
26128 ----> uni6610	昐
26129 ----> uni6611	昑
26130 ----> uni6612	昒
26131 ----> uni6613	易
26132 ----> uni6614	昔
26133 ----> uni6615	昕
26140 ----> uni661C	昜
26141 ----> uni661D	昝
26143 ----> uni661F	星
26144 ----> uni6620	映
26145 ----> uni6621	昡
26146 ----> uni6622	昢
26148 ----> uni6624	昤
26149 ----> uni6625	春
26150 ----> uni6626	昦
26151 ----> uni6627	昧
26152 ----> uni6628	昨
26155 ----> uni662B	昫
26157 ----> uni662D	昭
26158 ----> uni662E	昮
26159 ----> uni662F	是
26161 ----> uni6631	昱
26162 ----> uni6632	昲
26163 ----> uni6633	昳
26164 ----> uni6634	昴
26165 ----> uni6635	昵
26166 ----> uni6636	昶
26169 ----> uni6639	昹
26170 ----> uni663A	昺
