12426 ----> uni308A	り
12427 ----> uni308B	る
12428 ----> uni308C	れ
12429 ----> uni308D	ろ
12430 ----> uni308E	ゎ
12431 ----> uni308F	わ
12432 ----> uni3090	ゐ
12433 ----> uni3091	ゑ
12434 ----> uni3092	を
12435 ----> uni3093	ん
12443 ----> uni309B	゛
12444 ----> uni309C	゜
12445 ----> uni309D	ゝ
12446 ----> uni309E	ゞ
12449 ----> uni30A1	ァ
12450 ----> uni30A2	ア
12451 ----> uni30A3	ィ
12452 ----> uni30A4	イ
12453 ----> uni30A5	ゥ
12454 ----> uni30A6	ウ
12455 ----> uni30A7	ェ
12456 ----> uni30A8	エ
12457 ----> uni30A9	ォ
12458 ----> uni30AA	オ
12459 ----> uni30AB	カ
12460 ----> uni30AC	ガ
12461 ----> uni30AD	キ
12462 ----> uni30AE	ギ
12463 ----> uni30AF	ク
12464 ----> uni30B0	グ
12465 ----> uni30B1	ケ
12466 ----> uni30B2	ゲ
12467 ----> uni30B3	コ
12468 ----> uni30B4	ゴ
12469 ----> uni30B5	サ
12470 ----> uni30B6	ザ
12471 ----> uni30B7	シ
12472 ----> uni30B8	ジ
12473 ----> uni30B9	ス
12474 ----> uni30BA	ズ
12475 ----> uni30BB	セ
12476 ----> uni30BC	ゼ
12477 ----> uni30BD	ソ
12478 ----> uni30BE	ゾ
12479 ----> uni30BF	タ
12480 ----> uni30C0	ダ
12481 ----> uni30C1	チ
12482 ----> uni30C2	ヂ
12483 ----> uni30C3	ッ
12484 ----> uni30C4	ツ
12485 ----> uni30C5	ヅ
12486 ----> uni30C6	テ
12487 ----> uni30C7	デ
12488 ----> uni30C8	ト
12489 ----> uni30C9	ド
12490 ----> uni30CA	ナ
12491 ----> uni30CB	ニ
12492 ----> uni30CC	ヌ
12493 ----> uni30CD	ネ
12494 ----> uni30CE	ノ
12495 ----> uni30CF	ハ
12496 ----> uni30D0	バ
12497 ----> uni30D1	パ
12498 ----> uni30D2	ヒ
12499 ----> uni30D3	ビ
12500 ----> uni30D4	ピ
12501 ----> uni30D5	フ
12502 ----> uni30D6	ブ
12503 ----> uni30D7	プ
12504 ----> uni30D8	ヘ
12505 ----> uni30D9	ベ
12506 ----> uni30DA	ペ
12507 ----> uni30DB	ホ
12508 ----> uni30DC	ボ
12509 ----> uni30DD	ポ
12510 ----> uni30DE	マ
12511 ----> uni30DF	ミ
12512 ----> uni30E0	ム
12513 ----> uni30E1	メ
12514 ----> uni30E2	モ
12515 ----> uni30E3	ャ
12516 ----> uni30E4	ヤ
12517 ----> uni30E5	ュ
12518 ----> uni30E6	ユ
12519 ----> uni30E7	ョ
12520 ----> uni30E8	ヨ
12521 ----> uni30E9	ラ
12522 ----> uni30EA	リ
12523 ----> uni30EB	ル
12524 ----> uni30EC	レ
12525 ----> uni30ED	ロ
12526 ----> uni30EE	ヮ
12527 ----> uni30EF	ワ
12528 ----> uni30F0	ヰ
12529 ----> uni30F1	ヱ
12530 ----> uni30F2	ヲ
12531 ----> uni30F3	ン
12532 ----> uni30F4	ヴ
12533 ----> uni30F5	ヵ
12534 ----> uni30F6	ヶ
12539 ----> uni30FB	・
12540 ----> uni30FC	ー
12541 ----> uni30FD	ヽ
12542 ----> uni30FE	ヾ
19968 ----> uni4E00	一
19969 ----> uni4E01	丁
19971 ----> uni4E03	七
19975 ----> uni4E07	万
19976 ----> uni4E08	丈
19977 ----> uni4E09	三
19978 ----> uni4E0A	上
19979 ----> uni4E0B	下
19981 ----> uni4E0D	不
19982 ----> uni4E0E	与
19984 ----> uni4E10	丐
19985 ----> uni4E11	丑
19988 ----> uni4E14	且
19989 ----> uni4E15	丕
19990 ----> uni4E16	世
19991 ----> uni4E17	丗
19992 ----> uni4E18	丘
19993 ----> uni4E19	丙
19998 ----> uni4E1E	丞
20001 ----> uni4E21	両
20006 ----> uni4E26	並
20010 ----> uni4E2A	个
20013 ----> uni4E2D	中
20017 ----> uni4E31	丱
20018 ----> uni4E32	串
20022 ----> uni4E36	丶
20024 ----> uni4E38	丸
20025 ----> uni4E39	丹
20027 ----> uni4E3B	主
20028 ----> uni4E3C	丼
20031 ----> uni4E3F	丿
20034 ----> uni4E42	乂
20035 ----> uni4E43	乃
20037 ----> uni4E45	久
20043 ----> uni4E4B	之
20045 ----> uni4E4D	乍
20046 ----> uni4E4E	乎
20047 ----> uni4E4F	乏
20053 ----> uni4E55	乕
20054 ----> uni4E56	乖
20055 ----> uni4E57	乗
20056 ----> uni4E58	乘
20057 ----> uni4E59	乙
20061 ----> uni4E5D	九
20062 ----> uni4E5E	乞
20063 ----> uni4E5F	也
20066 ----> uni4E62	乢
20081 ----> uni4E71	乱
20083 ----> uni4E73	乳
20094 ----> uni4E7E	乾
20096 ----> uni4E80	亀
20098 ----> uni4E82	亂
20101 ----> uni4E85	亅
20102 ----> uni4E86	了
20104 ----> uni4E88	予
20105 ----> uni4E89	争
20106 ----> uni4E8A	亊
20107 ----> uni4E8B	事
20108 ----> uni4E8C	二
20110 ----> uni4E8E	于
20113 ----> uni4E91	云
20114 ----> uni4E92	互
20116 ----> uni4E94	五
20117 ----> uni4E95	井
20123 ----> uni4E9B	些
20124 ----> uni4E9C	亜
20126 ----> uni4E9E	亞
20127 ----> uni4E9F	亟
20128 ----> uni4EA0	亠
20129 ----> uni4EA1	亡
20130 ----> uni4EA2	亢
20132 ----> uni4EA4	交
20133 ----> uni4EA5	亥
20134 ----> uni4EA6	亦
20136 ----> uni4EA8	亨
20139 ----> uni4EAB	享
20140 ----> uni4EAC	京
20141 ----> uni4EAD	亭
20142 ----> uni4EAE	亮
20144 ----> uni4EB0	亰
20147 ----> uni4EB3	亳
20150 ----> uni4EB6	亶
20154 ----> uni4EBA	人
20160 ----> uni4EC0	什
20161 ----> uni4EC1	仁
20162 ----> uni4EC2	仂
20164 ----> uni4EC4	仄
20166 ----> uni4EC6	仆
20167 ----> uni4EC7	仇
20170 ----> uni4ECA	今
20171 ----> uni4ECB	介
20173 ----> uni4ECD	仍
20174 ----> uni4ECE	从
20175 ----> uni4ECF	仏
20180 ----> uni4ED4	仔
20181 ----> uni4ED5	仕
20182 ----> uni4ED6	他
20183 ----> uni4ED7	仗
20184 ----> uni4ED8	付
20185 ----> uni4ED9	仙
20189 ----> uni4EDD	仝
20190 ----> uni4EDE	仞
20191 ----> uni4EDF	仟
20195 ----> uni4EE3	代
20196 ----> uni4EE4	令
20197 ----> uni4EE5	以
20205 ----> uni4EED	仭
20206 ----> uni4EEE	仮
20208 ----> uni4EF0	仰
20210 ----> uni4EF2	仲
20214 ----> uni4EF6	件
20215 ----> uni4EF7	价
20219 ----> uni4EFB	任
20225 ----> uni4F01	企
20233 ----> uni4F09	伉
20234 ----> uni4F0A	伊
20237 ----> uni4F0D	伍
20238 ----> uni4F0E	伎
20239 ----> uni4F0F	伏
20240 ----> uni4F10	伐
20241 ----> uni4F11	休
20250 ----> uni4F1A	会
20252 ----> uni4F1C	伜
20253 ----> uni4F1D	伝
20271 ----> uni4F2F	伯
20272 ----> uni4F30	估
20276 ----> uni4F34	伴
20278 ----> uni4F36	伶
20280 ----> uni4F38	伸
20282 ----> uni4F3A	伺
20284 ----> uni4F3C	似
20285 ----> uni4F3D	伽
20291 ----> uni4F43	佃
20294 ----> uni4F46	但
20295 ----> uni4F47	佇
20301 ----> uni4F4D	位
20302 ----> uni4F4E	低
20303 ----> uni4F4F	住
20304 ----> uni4F50	佐
20305 ----> uni4F51	佑
20307 ----> uni4F53	体
20309 ----> uni4F55	何
20311 ----> uni4F57	佗
20313 ----> uni4F59	余
20314 ----> uni4F5A	佚
20315 ----> uni4F5B	佛
20316 ----> uni4F5C	作
20317 ----> uni4F5D	佝
20318 ----> uni4F5E	佞
20329 ----> uni4F69	佩
20335 ----> uni4F6F	佯
20336 ----> uni4F70	佰
20339 ----> uni4F73	佳
20341 ----> uni4F75	併
20342 ----> uni4F76	佶
20347 ----> uni4F7B	佻
20348 ----> uni4F7C	佼
20351 ----> uni4F7F	使
20355 ----> uni4F83	侃
20358 ----> uni4F86	來
20360 ----> uni4F88	侈
20363 ----> uni4F8B	例
20365 ----> uni4F8D	侍
20367 ----> uni4F8F	侏
20369 ----> uni4F91	侑
20374 ----> uni4F96	侖
20376 ----> uni4F98	侘
20379 ----> uni4F9B	供
20381 ----> uni4F9D	依
20384 ----> uni4FA0	侠
20385 ----> uni4FA1	価
20395 ----> uni4FAB	侫
20397 ----> uni4FAD	侭
20398 ----> uni4FAE	侮
20399 ----> uni4FAF	侯
20405 ----> uni4FB5	侵
20406 ----> uni4FB6	侶
20415 ----> uni4FBF	便
20418 ----> uni4FC2	係
20419 ----> uni4FC3	促
20420 ----> uni4FC4	俄
20426 ----> uni4FCA	俊
20430 ----> uni4FCE	俎
20432 ----> uni4FD0	俐
20433 ----> uni4FD1	俑
20436 ----> uni4FD4	俔
20439 ----> uni4FD7	俗
20440 ----> uni4FD8	俘
20442 ----> uni4FDA	俚
20443 ----> uni4FDB	俛
20445 ----> uni4FDD	保
20447 ----> uni4FDF	俟
20449 ----> uni4FE1	信
20451 ----> uni4FE3	俣
20452 ----> uni4FE4	俤
20453 ----> uni4FE5	俥
20462 ----> uni4FEE	修
20463 ----> uni4FEF	俯
20467 ----> uni4FF3	俳
20469 ----> uni4FF5	俵
20470 ----> uni4FF6	俶
20472 ----> uni4FF8	俸
20474 ----> uni4FFA	俺
20478 ----> uni4FFE	俾
