20113 ----> uni4E91	云
20114 ----> uni4E92	互
20115 ----> uni4E93	亓
20116 ----> uni4E94	五
20117 ----> uni4E95	井
20121 ----> uni4E99	亙
20123 ----> uni4E9B	些
20126 ----> uni4E9E	亞
20127 ----> uni4E9F	亟
20129 ----> uni4EA1	亡
20130 ----> uni4EA2	亢
20132 ----> uni4EA4	交
20133 ----> uni4EA5	亥
20134 ----> uni4EA6	亦
20136 ----> uni4EA8	亨
20139 ----> uni4EAB	享
20140 ----> uni4EAC	京
20141 ----> uni4EAD	亭
20142 ----> uni4EAE	亮
20147 ----> uni4EB3	亳
20150 ----> uni4EB6	亶
20153 ----> uni4EB9	亹
20154 ----> uni4EBA	人
20160 ----> uni4EC0	什
20161 ----> uni4EC1	仁
20162 ----> uni4EC2	仂
20163 ----> uni4EC3	仃
20164 ----> uni4EC4	仄
20166 ----> uni4EC6	仆
20167 ----> uni4EC7	仇
20168 ----> uni4EC8	仈
20169 ----> uni4EC9	仉
20170 ----> uni4ECA	今
20171 ----> uni4ECB	介
20173 ----> uni4ECD	仍
20180 ----> uni4ED4	仔
20181 ----> uni4ED5	仕
20182 ----> uni4ED6	他
20183 ----> uni4ED7	仗
20184 ----> uni4ED8	付
20185 ----> uni4ED9	仙
20186 ----> uni4EDA	仚
20188 ----> uni4EDC	仜
20189 ----> uni4EDD	仝
20190 ----> uni4EDE	仞
20191 ----> uni4EDF	仟
20193 ----> uni4EE1	仡
20195 ----> uni4EE3	代
20196 ----> uni4EE4	令
20197 ----> uni4EE5	以
20200 ----> uni4EE8	仨
20201 ----> uni4EE9	仩
20208 ----> uni4EF0	仰
20209 ----> uni4EF1	仱
20210 ----> uni4EF2	仲
20211 ----> uni4EF3	仳
20212 ----> uni4EF4	仴
20213 ----> uni4EF5	仵
20214 ----> uni4EF6	件
20215 ----> uni4EF7	价
20219 ----> uni4EFB	任
20221 ----> uni4EFD	份
20223 ----> uni4EFF	仿
20224 ----> uni4F00	伀
20225 ----> uni4F01	企
20226 ----> uni4F02	伂
20228 ----> uni4F04	伄
20229 ----> uni4F05	伅
20232 ----> uni4F08	伈
20233 ----> uni4F09	伉
20234 ----> uni4F0A	伊
20235 ----> uni4F0B	伋
20237 ----> uni4F0D	伍
20238 ----> uni4F0E	伎
20239 ----> uni4F0F	伏
20240 ----> uni4F10	伐
20241 ----> uni4F11	休
20242 ----> uni4F12	伒
20243 ----> uni4F13	伓
20244 ----> uni4F14	伔
20245 ----> uni4F15	伕
20248 ----> uni4F18	优
20249 ----> uni4F19	伙
20253 ----> uni4F1D	伝
20258 ----> uni4F22	伢
20268 ----> uni4F2C	伬
20269 ----> uni4F2D	伭
20271 ----> uni4F2F	伯
20272 ----> uni4F30	估
20275 ----> uni4F33	伳
20276 ----> uni4F34	伴
20278 ----> uni4F36	伶
20280 ----> uni4F38	伸
20282 ----> uni4F3A	伺
20283 ----> uni4F3B	伻
20284 ----> uni4F3C	似
20285 ----> uni4F3D	伽
20286 ----> uni4F3E	伾
20287 ----> uni4F3F	伿
20289 ----> uni4F41	佁
20291 ----> uni4F43	佃
20294 ----> uni4F46	但
20295 ----> uni4F47	佇
20296 ----> uni4F48	佈
20297 ----> uni4F49	佉
20300 ----> uni4F4C	佌
20301 ----> uni4F4D	位
20302 ----> uni4F4E	低
20303 ----> uni4F4F	住
20304 ----> uni4F50	佐
20305 ----> uni4F51	佑
20306 ----> uni4F52	佒
20307 ----> uni4F53	体
20308 ----> uni4F54	佔
20309 ----> uni4F55	何
20310 ----> uni4F56	佖
20311 ----> uni4F57	佗
20312 ----> uni4F58	佘
20313 ----> uni4F59	余
20314 ----> uni4F5A	佚
20315 ----> uni4F5B	佛
20316 ----> uni4F5C	作
20317 ----> uni4F5D	佝
20318 ----> uni4F5E	佞
20319 ----> uni4F5F	佟
20320 ----> uni4F60	你
20321 ----> uni4F61	佡
20322 ----> uni4F62	佢
20323 ----> uni4F63	佣
20324 ----> uni4F64	佤
20327 ----> uni4F67	佧
20329 ----> uni4F69	佩
20330 ----> uni4F6A	佪
20331 ----> uni4F6B	佫
20332 ----> uni4F6C	佬
20334 ----> uni4F6E	佮
20335 ----> uni4F6F	佯
20336 ----> uni4F70	佰
20339 ----> uni4F73	佳
20340 ----> uni4F74	佴
20341 ----> uni4F75	併
20342 ----> uni4F76	佶
20343 ----> uni4F77	佷
20344 ----> uni4F78	佸
20345 ----> uni4F79	佹
20346 ----> uni4F7A	佺
20347 ----> uni4F7B	佻
20348 ----> uni4F7C	佼
20349 ----> uni4F7D	佽
20350 ----> uni4F7E	佾
20351 ----> uni4F7F	使
20352 ----> uni4F80	侀
20353 ----> uni4F81	侁
20354 ----> uni4F82	侂
20355 ----> uni4F83	侃
20356 ----> uni4F84	侄
20357 ----> uni4F85	侅
20358 ----> uni4F86	來
20359 ----> uni4F87	侇
20360 ----> uni4F88	侈
20361 ----> uni4F89	侉
20363 ----> uni4F8B	例
20365 ----> uni4F8D	侍
20367 ----> uni4F8F	侏
20368 ----> uni4F90	侐
20369 ----> uni4F91	侑
20370 ----> uni4F92	侒
20372 ----> uni4F94	侔
20373 ----> uni4F95	侕
20374 ----> uni4F96	侖
20375 ----> uni4F97	侗
20376 ----> uni4F98	侘
20378 ----> uni4F9A	侚
20379 ----> uni4F9B	供
20380 ----> uni4F9C	侜
20381 ----> uni4F9D	依
20382 ----> uni4F9E	侞
20398 ----> uni4FAE	侮
20399 ----> uni4FAF	侯
20402 ----> uni4FB2	侲
20403 ----> uni4FB3	侳
20405 ----> uni4FB5	侵
20406 ----> uni4FB6	侶
20407 ----> uni4FB7	侷
20409 ----> uni4FB9	侹
20410 ----> uni4FBA	侺
20411 ----> uni4FBB	侻
20415 ----> uni4FBF	便
20416 ----> uni4FC0	俀
20417 ----> uni4FC1	俁
20418 ----> uni4FC2	係
20419 ----> uni4FC3	促
20420 ----> uni4FC4	俄
20421 ----> uni4FC5	俅
20423 ----> uni4FC7	俇
20425 ----> uni4FC9	俉
20426 ----> uni4FCA	俊
20427 ----> uni4FCB	俋
20429 ----> uni4FCD	俍
20430 ----> uni4FCE	俎
20431 ----> uni4FCF	俏
20432 ----> uni4FD0	俐
20433 ----> uni4FD1	俑
20435 ----> uni4FD3	俓
20436 ----> uni4FD4	俔
20438 ----> uni4FD6	俖
20439 ----> uni4FD7	俗
20440 ----> uni4FD8	俘
20441 ----> uni4FD9	俙
20442 ----> uni4FDA	俚
20443 ----> uni4FDB	俛
20444 ----> uni4FDC	俜
20445 ----> uni4FDD	保
20446 ----> uni4FDE	俞
20447 ----> uni4FDF	俟
20448 ----> uni4FE0	俠
20449 ----> uni4FE1	信
20460 ----> uni4FEC	俬
20462 ----> uni4FEE	修
20463 ----> uni4FEF	俯
20465 ----> uni4FF1	俱
20467 ----> uni4FF3	俳
20468 ----> uni4FF4	俴
20469 ----> uni4FF5	俵
20470 ----> uni4FF6	俶
20471 ----> uni4FF7	俷
20472 ----> uni4FF8	俸
20474 ----> uni4FFA	俺
20478 ----> uni4FFE	俾
20480 ----> uni5000	倀
20485 ----> uni5005	倅
20486 ----> uni5006	倆
20487 ----> uni5007	倇
20489 ----> uni5009	倉
20491 ----> uni500B	個
20492 ----> uni500C	倌
20493 ----> uni500D	倍
20494 ----> uni500E	倎
20495 ----> uni500F	倏
20497 ----> uni5011	們
20498 ----> uni5012	倒
20499 ----> uni5013	倓
20500 ----> uni5014	倔
20501 ----> uni5015	倕
20502 ----> uni5016	倖
20503 ----> uni5017	倗
20504 ----> uni5018	倘
20505 ----> uni5019	候
20506 ----> uni501A	倚
20507 ----> uni501B	倛
20508 ----> uni501C	倜
20510 ----> uni501E	倞
20511 ----> uni501F	借
20512 ----> uni5020	倠
20513 ----> uni5021	倡
20514 ----> uni5022	倢
20515 ----> uni5023	倣
20517 ----> uni5025	倥
20518 ----> uni5026	倦
20519 ----> uni5027	倧
20520 ----> uni5028	倨
20521 ----> uni5029	倩
20522 ----> uni502A	倪
20523 ----> uni502B	倫
20524 ----> uni502C	倬
20525 ----> uni502D	倭
20527 ----> uni502F	倯
20528 ----> uni5030	倰
20529 ----> uni5031	倱
20531 ----> uni5033	倳
20533 ----> uni5035	倵
20535 ----> uni5037	倷
20540 ----> uni503C	值
20544 ----> uni5040	偀
20545 ----> uni5041	偁
20547 ----> uni5043	偃
20549 ----> uni5045	偅
20550 ----> uni5046	偆
20551 ----> uni5047	假
20552 ----> uni5048	偈
20553 ----> uni5049	偉
20554 ----> uni504A	偊
20555 ----> uni504B	偋
20556 ----> uni504C	偌
20557 ----> uni504D	偍
20558 ----> uni504E	偎
20559 ----> uni504F	偏
20561 ----> uni5051	偑
20563 ----> uni5053	偓
20565 ----> uni5055	偕
20567 ----> uni5057	偗
20570 ----> uni505A	做
20571 ----> uni505B	偛
20572 ----> uni505C	停
20573 ----> uni505D	偝
20574 ----> uni505E	偞
20575 ----> uni505F	偟
20576 ----> uni5060	偠
20577 ----> uni5061	偡
20578 ----> uni5062	偢
20579 ----> uni5063	偣
20580 ----> uni5064	偤
20581 ----> uni5065	健
20584 ----> uni5068	偨
20585 ----> uni5069	偩
20586 ----> uni506A	偪
20587 ----> uni506B	偫
20589 ----> uni506D	偭
